Method,Groups,Data var.,PP,Pp,PN,Pn,P?,pP,pp,pN,pn,p?,NP,Np,NN,Nn,N?,nP,np,nN,nn,n?,?P,?p,?N,?n
argva-base,WT-YNB-avt1-vac,dyn,72,0,0,0,0,0,192,0,0,0,0,0,218,0,0,0,0,0,221,0,0,0,0,0
argva-base,WT-YNB-aa-standard,dyn,108,0,0,0,0,0,171,0,0,0,0,0,197,0,0,0,0,0,222,0,0,0,0,0
vgae-line,WT-YNB-S51A-YNB,none,76,0,0,0,0,0,257,0,0,0,0,0,127,0,0,0,0,0,282,0,0,0,0,0
vgae-line,WT-YNB-WT-Tyr,none,64,0,0,0,0,0,246,0,0,0,0,0,123,0,0,0,0,0,313,0,0,0,0,0
vgae-line,WT-YNB-S51A-Tyr,none,38,0,0,0,0,0,244,0,0,0,0,0,135,0,0,0,0,0,362,0,0,0,0,0
vgae-line,WT-YNB-WT-total,none,83,0,0,0,0,0,197,0,0,0,0,0,224,0,0,0,0,0,198,0,0,0,0,0
vgae-line,WT-YNB-WT-vac,none,99,0,0,0,0,0,181,0,0,0,0,0,201,0,0,0,0,0,213,0,0,0,0,0
vgae-line,WT-YNB-avt1-total,none,84,0,0,0,0,0,200,0,0,0,0,0,210,0,0,0,0,0,226,0,0,0,0,0
vgae-line,WT-YNB-avt1-vac,none,73,0,0,0,0,0,205,0,0,0,0,0,229,0,0,0,0,0,221,0,0,0,0,0
vgae-line,WT-YNB-aa-standard,none,105,0,0,0,0,0,175,0,0,0,0,0,190,0,0,0,0,0,204,0,0,0,0,0
vgae-line,WT-YNB-S51A-YNB,str,74,0,0,0,0,0,260,0,0,0,0,0,134,0,0,0,0,0,283,0,0,0,0,0
vgae-line,WT-YNB-WT-Tyr,str,63,0,0,0,0,0,252,0,0,0,0,0,130,0,0,0,0,0,314,0,0,0,0,0
vgae-line,WT-YNB-S51A-Tyr,str,37,0,0,0,0,0,237,0,0,0,0,0,141,0,0,0,0,0,377,0,0,0,0,0
vgae-line,WT-YNB-WT-total,str,90,0,0,0,0,0,191,0,0,0,0,0,225,0,0,0,0,0,204,0,0,0,0,0
vgae-line,WT-YNB-WT-vac,str,104,0,0,0,0,0,182,0,0,0,0,0,200,0,0,0,0,0,222,0,0,0,0,0
vgae-line,WT-YNB-avt1-total,str,77,0,0,0,0,0,197,0,0,0,0,0,211,0,0,0,0,0,242,0,0,0,0,0
vgae-line,WT-YNB-avt1-vac,str,72,0,0,0,0,0,206,0,0,0,0,0,212,0,0,0,0,0,234,0,0,0,0,0
vgae-line,WT-YNB-aa-standard,str,108,0,0,0,0,0,169,0,0,0,0,0,211,0,0,0,0,0,226,0,0,0,0,0
vgae-line,WT-YNB-S51A-YNB,dyn,74,0,0,0,0,0,267,0,0,0,0,0,128,0,0,0,0,0,285,0,0,0,0,0
vgae-line,WT-YNB-WT-Tyr,dyn,64,0,0,0,0,0,260,0,0,0,0,0,137,0,0,0,0,0,313,0,0,0,0,0
vgae-line,WT-YNB-S51A-Tyr,dyn,35,0,0,0,0,0,242,0,0,0,0,0,132,0,0,0,0,0,370,0,0,0,0,0
vgae-line,WT-YNB-WT-total,dyn,92,0,0,0,0,0,204,0,0,0,0,0,214,0,0,0,0,0,205,0,0,0,0,0
vgae-line,WT-YNB-WT-vac,dyn,98,0,0,0,0,0,185,0,0,0,0,0,197,0,0,0,0,0,223,0,0,0,0,0
vgae-line,WT-YNB-avt1-total,dyn,81,0,0,0,0,0,208,0,0,0,0,0,222,0,0,0,0,0,221,0,0,0,0,0
vgae-line,WT-YNB-avt1-vac,dyn,68,0,0,0,0,0,205,0,0,0,0,0,216,0,0,0,0,0,231,0,0,0,0,0
vgae-line,WT-YNB-aa-standard,dyn,101,0,0,0,0,0,169,0,0,0,0,0,202,0,0,0,0,0,213,0,0,0,0,0
vgae-base,WT-YNB-S51A-YNB,none,74,0,0,0,0,0,266,0,0,0,0,0,119,0,0,0,0,0,297,0,0,0,0,0
vgae-base,WT-YNB-WT-Tyr,none,58,0,0,0,0,0,270,0,0,0,0,0,112,0,0,0,0,0,299,0,0,0,0,0
vgae-base,WT-YNB-S51A-Tyr,none,42,0,0,0,0,0,253,0,0,0,0,0,138,0,0,0,0,0,385,0,0,0,0,0
vgae-base,WT-YNB-WT-total,none,86,0,0,0,0,0,203,0,0,0,0,0,222,0,0,0,0,0,190,0,0,0,0,0
vgae-base,WT-YNB-WT-vac,none,103,0,0,0,0,0,190,0,0,0,0,0,192,0,0,0,0,0,212,0,0,0,0,0
vgae-base,WT-YNB-avt1-total,none,80,0,0,0,0,0,214,0,0,0,0,0,208,0,0,0,0,0,210,0,0,0,0,0
vgae-base,WT-YNB-avt1-vac,none,74,0,0,0,0,0,202,0,0,0,0,0,199,0,0,0,0,0,220,0,0,0,0,0
vgae-base,WT-YNB-aa-standard,none,108,0,0,0,0,0,172,0,0,0,0,0,209,0,0,0,0,0,194,0,0,0,0,0
vgae-base,WT-YNB-S51A-YNB,str,73,0,0,0,0,0,255,0,0,0,0,0,123,0,0,0,0,0,285,0,0,0,0,0
vgae-base,WT-YNB-WT-Tyr,str,62,0,0,0,0,0,269,0,0,0,0,0,139,0,0,0,0,0,312,0,0,0,0,0
vgae-base,WT-YNB-S51A-Tyr,str,38,0,0,0,0,0,247,0,0,0,0,0,143,0,0,0,0,0,384,0,0,0,0,0
vgae-base,WT-YNB-WT-total,str,81,0,0,0,0,0,192,0,0,0,0,0,218,0,0,0,0,0,209,0,0,0,0,0
vgae-base,WT-YNB-WT-vac,str,110,0,0,0,0,0,179,0,0,0,0,0,200,0,0,0,0,0,203,0,0,0,0,0
vgae-base,WT-YNB-avt1-total,str,75,0,0,0,0,0,200,0,0,0,0,0,219,0,0,0,0,0,237,0,0,0,0,0
vgae-base,WT-YNB-avt1-vac,str,71,0,0,0,0,0,220,0,0,0,0,0,215,0,0,0,0,0,229,0,0,0,0,0
vgae-base,WT-YNB-aa-standard,str,101,0,0,0,0,0,171,0,0,0,0,0,214,0,0,0,0,0,225,0,0,0,0,0
vgae-base,WT-YNB-S51A-YNB,dyn,76,0,0,0,0,0,256,0,0,0,0,0,123,0,0,0,0,0,276,0,0,0,0,0
vgae-base,WT-YNB-WT-Tyr,dyn,65,0,0,0,0,0,277,0,0,0,0,0,139,0,0,0,0,0,316,0,0,0,0,0
vgae-base,WT-YNB-S51A-Tyr,dyn,41,0,0,0,0,0,244,0,0,0,0,0,140,0,0,0,0,0,381,0,0,0,0,0
vgae-base,WT-YNB-WT-total,dyn,90,0,0,0,0,0,194,0,0,0,0,0,211,0,0,0,0,0,203,0,0,0,0,0
vgae-base,WT-YNB-WT-vac,dyn,96,0,0,0,0,0,189,0,0,0,0,0,197,0,0,0,0,0,202,0,0,0,0,0
vgae-base,WT-YNB-avt1-total,dyn,79,0,0,0,0,0,202,0,0,0,0,0,208,0,0,0,0,0,212,0,0,0,0,0
vgae-base,WT-YNB-avt1-vac,dyn,69,0,0,0,0,0,203,0,0,0,0,0,227,0,0,0,0,0,228,0,0,0,0,0
vgae-base,WT-YNB-aa-standard,dyn,103,0,0,0,0,0,171,0,0,0,0,0,195,0,0,0,0,0,217,0,0,0,0,0
